% Model:              PetriDishFE.mph
% Version:            COMSOL 6.1.0.252
% Date:               May 15 2023, 09:21
% Dimension:          1
% Nodes:              35
% Expressions:        1
% Description:        Global
% theta0                  Area  in which E field is +- 10% of the E field in the center
0.08726646259971647       1661.5050734001654
0.17453292519943295       1684.4304728906998
0.2617993877991494        1698.7110540796793
0.3490658503988659        1729.0193109095526
0.4363323129985824        1748.6566606681697
0.5235987755982988        1785.9041510171853
0.6108652381980153        1840.325174458846
0.6981317007977318        1905.4368195629004
0.7853981633974483        1971.9889897501082
0.8726646259971648        2068.5654648192817
0.9599310885968813        2211.590083039623
1.0471975511965976        2498.4345819580753
1.1344640137963142        3091.7645961895123
1.2217304763960306        3541.6926862997148
1.3089969389957472        3804.0987983372934
1.3962634015954636        3930.2236202367785
1.4835298641951802        3992.7099370877622
1.5707963267948966        4009.2558949099807
1.6580627893946132        3978.6807466903806
1.7453292519943295        3889.372880002632
1.8325957145940461        3725.1572057083517
1.9198621771937625        3462.9973146700886
2.007128639793479         2840.2656926524874
2.0943951023931953        2394.4544978754475
2.181661564992912         2149.8843222264472
2.2689280275926285        2043.141206141057
2.356194490192345         1958.8008434653846
2.443460952792061         1883.3823034689972
2.530727415391778         1813.9830293948849
2.6179938779914944        1763.9927333632488
2.705260340591211         1738.7663169317739
2.792526803190927         1703.6118789742295
2.8797932657906435        1695.48741334892
2.9670597283903604        1668.3828224502497
3.0543261909900767        1665.468580488363
