19433948.000000,1,0.000,0.000,0.000,0.000,0.000,0.000000
19443481.000000,1,24.000,22.000,21.000,21.000,18.000,106.000000
19454054.000000,1,22.000,21.000,20.000,20.000,17.000,100.000000
19464511.000000,1,23.000,23.000,21.000,23.000,18.000,108.000000
19475038.000000,1,23.000,24.000,20.000,23.000,19.000,109.000000
19485537.000000,1,22.000,24.000,21.000,23.000,20.000,110.000000
19496084.000000,1,22.000,23.000,20.000,22.000,18.000,105.000000
19506562.000000,1,22.000,24.000,21.000,23.000,18.000,108.000000
19517136.000000,1,23.000,24.000,21.000,22.000,18.000,108.000000
19527656.000000,1,25.000,24.000,22.000,23.000,17.000,111.000000
19538145.000000,1,24.000,23.000,22.000,23.000,17.000,109.000000
19548666.000000,1,25.000,24.000,22.000,23.000,17.000,111.000000
19559166.000000,1,25.000,23.000,23.000,22.000,16.000,109.000000
19569637.000000,1,23.000,23.000,21.000,22.000,18.000,107.000000
19580159.000000,1,24.000,23.000,21.000,23.000,18.000,109.000000
19590706.000000,1,24.000,24.000,23.000,23.000,17.000,111.000000
19601201.000000,1,24.000,22.000,21.000,22.000,17.000,106.000000
19612959.000000,1,22.000,23.000,20.000,22.000,18.000,105.000000
19624528.000000,1,21.000,23.000,20.000,21.000,18.000,103.000000
19638508.000000,1,24.000,23.000,22.000,23.000,16.000,108.000000
19653664.000000,1,25.000,23.000,22.000,22.000,17.000,109.000000
19668616.000000,1,23.000,23.000,20.000,22.000,18.000,106.000000
19683539.000000,1,20.000,22.000,20.000,21.000,18.000,101.000000
19695944.000000,1,24.000,23.000,21.000,22.000,15.000,105.000000
19707573.000000,1,24.000,24.000,22.000,23.000,17.000,110.000000
19720241.000000,1,21.000,23.000,21.000,21.000,18.000,104.000000
19732788.000000,1,23.000,23.000,21.000,23.000,18.000,108.000000
19746212.000000,1,23.000,24.000,21.000,23.000,18.000,109.000000
19759137.000000,1,23.000,23.000,22.000,22.000,16.000,106.000000
19770878.000000,1,23.000,22.000,20.000,20.000,15.000,100.000000
19784223.000000,1,23.000,21.000,22.000,20.000,18.000,104.000000
19796249.000000,1,22.000,21.000,22.000,20.000,17.000,102.000000
19806774.000000,1,21.000,22.000,20.000,21.000,16.000,100.000000
19817272.000000,1,23.000,21.000,21.000,19.000,18.000,102.000000
19827780.000000,1,21.000,20.000,20.000,19.000,17.000,97.000000
19838258.000000,1,23.000,21.000,22.000,18.000,16.000,100.000000
19848745.000000,1,22.000,21.000,21.000,19.000,17.000,100.000000
19859150.000000,1,23.000,21.000,21.000,18.000,17.000,100.000000
19869681.000000,1,21.000,20.000,21.000,17.000,16.000,95.000000
19880192.000000,1,23.000,21.000,22.000,19.000,16.000,101.000000
19890692.000000,1,22.000,21.000,20.000,19.000,17.000,99.000000
19901187.000000,1,22.000,20.000,22.000,18.000,15.000,97.000000
