-15.0068,-11.3892,-0.00173065,-0.00171615,-6.62029e-10,9.87524e-10
-15.4201,-6.94399,0.0977286,0.0917921,-1.06602,1.40462
-0.483444,0.665563,1.14058,1.12638,-4.26595,7.54313
12.2042,7.52251,2.57428,2.56291,-6.02692,11.0849
9.74757,2.40291,4.32141,4.31262,-5.76318,10.876
-1.55833,-6.96333,5.80612,5.79835,-5.91079,9.89471
-10.4,-10.9597,7.33722,7.32034,-7.61751,10.3929
-3.34423,-2.26334,8.8309,8.81774,-11.5683,13.842
1.32823,6.93537,10.5356,10.5254,-15.0498,17.1708
3.7632,8.11584,11.6995,11.6878,-15.9704,18.8148
5.32818,-0.314433,13.012,13.0042,-15.523,20.1698
4.33737,-0.586505,13.5587,13.5527,-16.5887,20.4022
3.32348,3.29565,13.7831,13.7787,-17.5521,20.4569
2.82812,6.875,13.6536,13.6516,-18.359,20.4272
4.74479,6.2691,13.1936,13.1936,-17.5046,20.2405
5.57143,4.71429,12.4291,12.4295,-16.3487,19.5794
4.37479,4.10733,11.4084,11.4099,-15.0455,18.2601
2.37031,4.02218,9.76673,9.77031,-13.1893,16.3053
1.58179,4.43508,8.20362,8.20639,-11.4625,14.8636
3.86589,3.45199,5.97236,5.97579,-8.7436,13.0994
5.25162,0.987013,4.04554,4.04998,-6.27837,10.9387
0.305466,1.14148,2.00406,2.00943,-4.11724,8.08177
3.1248,-0.0486224,-0.0744801,-0.0712492,-1.86778,5.97142
3.84152,0.573693,-2.14989,-2.14614,0.158532,3.60732
1.14921,0.62381,-5.12979,-5.1261,3.2149,-0.894013
-4.12928,-0.00155763,-6.97743,-6.97354,5.45633,-3.72315
-5.89815,-0.896605,-8.65966,-8.65603,7.45977,-5.60153
-4.18989,-0.882083,-10.1534,-10.1504,9.10819,-6.53731
0.158951,-0.584877,-11.4121,-11.4096,10.3962,-7.2767
-1.58359,-0.00303951,-12.4042,-12.4024,11.4027,-8.81771
-3.03035,0.0789074,-12.9569,-12.9554,12.0103,-9.75324
