16075199.000000,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000
16076561.000000,1,108.000,106.000,91.000,95.000,75.000,59.000,12.000,0.000,0.000,11.000,106.000,663.000000
16077926.000000,1,106.000,95.000,93.000,89.000,73.000,57.000,26.000,0.000,0.000,0.000,106.000,645.000000
16079270.000000,1,114.000,114.000,94.000,106.000,81.000,60.000,47.000,0.000,0.000,0.000,98.000,714.000000
16080622.000000,1,110.000,121.000,96.000,111.000,83.000,66.000,43.000,0.000,0.000,0.000,101.000,731.000000
16081969.000000,1,106.000,125.000,93.000,125.000,86.000,76.000,10.000,0.000,0.000,15.000,93.000,729.000000
16083291.000000,1,105.000,118.000,92.000,114.000,81.000,73.000,0.000,0.000,0.000,48.000,91.000,722.000000
16084626.000000,1,106.000,125.000,99.000,107.000,77.000,73.000,10.000,0.000,0.000,30.000,92.000,719.000000
16085980.000000,1,108.000,123.000,103.000,107.000,78.000,70.000,48.000,0.000,0.000,0.000,92.000,729.000000
16087290.000000,1,128.000,124.000,103.000,119.000,73.000,61.000,42.000,0.000,0.000,0.000,104.000,754.000000
16088630.000000,1,128.000,125.000,102.000,125.000,73.000,64.000,3.000,0.000,0.000,36.000,99.000,755.000000
16089966.000000,1,122.000,124.000,103.000,109.000,72.000,61.000,0.000,0.000,0.000,55.000,96.000,742.000000
16091271.000000,1,124.000,124.000,114.000,106.000,70.000,59.000,17.000,0.000,0.000,9.000,104.000,727.000000
16092616.000000,1,117.000,108.000,101.000,106.000,77.000,53.000,52.000,0.000,0.000,0.000,105.000,719.000000
16093958.000000,1,125.000,114.000,107.000,106.000,74.000,60.000,22.000,0.000,0.000,10.000,103.000,721.000000
16095329.000000,1,123.000,121.000,105.000,113.000,75.000,64.000,0.000,0.000,0.000,58.000,88.000,747.000000
16096652.000000,1,119.000,112.000,103.000,106.000,76.000,64.000,19.000,0.000,0.000,18.000,101.000,718.000000
16097985.000000,1,107.000,114.000,98.000,104.000,77.000,71.000,29.000,0.000,0.000,9.000,97.000,706.000000
16099328.000000,1,102.000,114.000,93.000,101.000,77.000,63.000,43.000,0.000,0.000,2.000,102.000,697.000000
16100689.000000,1,117.000,124.000,103.000,108.000,71.000,65.000,36.000,0.000,0.000,3.000,102.000,729.000000
16102035.000000,1,124.000,118.000,100.000,115.000,70.000,63.000,0.000,0.000,0.000,47.000,103.000,740.000000
16103360.000000,1,114.000,108.000,96.000,103.000,75.000,62.000,25.000,0.000,0.000,12.000,105.000,700.000000
16104671.000000,1,96.000,109.000,88.000,97.000,81.000,61.000,57.000,0.000,0.000,0.000,94.000,683.000000
16105996.000000,1,122.000,117.000,102.000,108.000,67.000,65.000,34.000,0.000,0.000,3.000,105.000,723.000000
16107311.000000,1,117.000,124.000,105.000,122.000,73.000,64.000,0.000,0.000,0.000,31.000,104.000,740.000000
16108661.000000,1,99.000,111.000,93.000,101.000,76.000,64.000,0.000,0.000,0.000,48.000,100.000,692.000000
16110007.000000,1,113.000,118.000,99.000,110.000,77.000,69.000,6.000,0.000,0.000,44.000,93.000,729.000000
16111332.000000,1,109.000,125.000,101.000,112.000,76.000,70.000,44.000,0.000,0.000,0.000,98.000,735.000000
16112669.000000,1,122.000,109.000,103.000,103.000,67.000,65.000,32.000,0.000,0.000,0.000,106.000,707.000000
16114026.000000,1,115.000,106.000,97.000,100.000,65.000,56.000,42.000,0.000,0.000,0.000,106.000,687.000000
16115361.000000,1,106.000,111.000,104.000,87.000,73.000,35.000,37.000,0.000,0.000,0.000,125.000,678.000000
16116658.000000,1,107.000,99.000,102.000,91.000,72.000,21.000,31.000,0.000,11.000,0.000,123.000,657.000000
16117990.000000,1,98.000,100.000,93.000,99.000,69.000,63.000,18.000,0.000,0.000,0.000,101.000,641.000000
16119340.000000,1,105.000,99.000,101.000,85.000,80.000,20.000,31.000,0.000,15.000,0.000,121.000,657.000000
16120692.000000,1,100.000,93.000,92.000,82.000,71.000,8.000,5.000,0.000,21.000,32.000,125.000,629.000000
16122028.000000,1,112.000,101.000,102.000,82.000,70.000,41.000,32.000,0.000,0.000,7.000,117.000,664.000000
16123356.000000,1,111.000,95.000,98.000,79.000,69.000,41.000,26.000,0.000,0.000,15.000,106.000,640.000000
16124712.000000,1,110.000,107.000,102.000,80.000,73.000,43.000,34.000,0.000,0.000,2.000,109.000,660.000000
16126071.000000,1,99.000,88.000,94.000,77.000,69.000,41.000,3.000,0.000,0.000,38.000,112.000,621.000000
16127406.000000,1,119.000,101.000,103.000,83.000,69.000,40.000,44.000,0.000,0.000,0.000,110.000,669.000000
16128754.000000,1,108.000,102.000,97.000,83.000,69.000,9.000,30.000,0.000,20.000,0.000,125.000,643.000000
16130112.000000,1,105.000,93.000,105.000,81.000,63.000,49.000,28.000,0.000,0.000,0.000,111.000,635.000000
16131462.000000,1,105.000,93.000,103.000,84.000,71.000,41.000,30.000,0.000,0.000,0.000,121.000,648.000000
16132807.000000,1,104.000,100.000,101.000,83.000,72.000,35.000,33.000,0.000,0.000,0.000,125.000,653.000000
16134153.000000,1,103.000,101.000,99.000,85.000,68.000,32.000,32.000,0.000,4.000,0.000,118.000,642.000000
16135509.000000,1,106.000,99.000,107.000,87.000,72.000,35.000,30.000,0.000,7.000,0.000,112.000,655.000000
16136847.000000,1,105.000,100.000,100.000,73.000,78.000,9.000,32.000,0.000,27.000,0.000,122.000,646.000000
16138180.000000,1,115.000,103.000,103.000,84.000,65.000,38.000,19.000,0.000,0.000,22.000,111.000,660.000000
16139527.000000,1,100.000,98.000,91.000,94.000,60.000,57.000,0.000,0.000,0.000,27.000,105.000,632.000000
16140875.000000,1,102.000,93.000,104.000,89.000,69.000,38.000,27.000,0.000,0.000,0.000,120.000,642.000000
16142216.000000,1,104.000,99.000,95.000,87.000,70.000,28.000,34.000,0.000,0.000,0.000,125.000,642.000000
16143556.000000,1,104.000,111.000,93.000,86.000,68.000,26.000,34.000,0.000,0.000,0.000,125.000,647.000000
16144911.000000,1,102.000,95.000,93.000,84.000,68.000,8.000,6.000,0.000,17.000,23.000,125.000,621.000000
16146252.000000,1,103.000,94.000,102.000,83.000,65.000,34.000,21.000,0.000,0.000,7.000,125.000,634.000000
16147600.000000,1,102.000,93.000,109.000,80.000,68.000,38.000,28.000,0.000,0.000,0.000,125.000,643.000000
16148963.000000,1,105.000,93.000,101.000,83.000,68.000,46.000,30.000,0.000,0.000,0.000,116.000,642.000000
16150321.000000,1,106.000,104.000,96.000,87.000,68.000,19.000,32.000,0.000,14.000,0.000,121.000,647.000000
16151663.000000,1,103.000,93.000,102.000,84.000,66.000,34.000,20.000,0.000,3.000,1.000,118.000,624.000000
16153006.000000,1,105.000,97.000,93.000,76.000,63.000,34.000,36.000,0.000,0.000,0.000,114.000,618.000000
