15359029.000000,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000
15360361.000000,1,79.000,75.000,72.000,72.000,57.000,50.000,13.000,0.000,0.000,10.000,78.000,506.000000
15361694.000000,1,77.000,71.000,70.000,70.000,57.000,44.000,21.000,0.000,0.000,0.000,75.000,485.000000
15363042.000000,1,79.000,78.000,70.000,75.000,63.000,49.000,39.000,0.000,0.000,0.000,74.000,527.000000
15364391.000000,1,75.000,80.000,70.000,80.000,67.000,51.000,38.000,0.000,0.000,0.000,71.000,532.000000
15365755.000000,1,75.000,79.000,70.000,75.000,65.000,58.000,9.000,0.000,0.000,15.000,70.000,516.000000
15367118.000000,1,75.000,75.000,70.000,75.000,65.000,54.000,0.000,0.000,0.000,40.000,70.000,524.000000
15368466.000000,1,74.000,81.000,70.000,75.000,60.000,53.000,11.000,0.000,0.000,27.000,69.000,520.000000
15369798.000000,1,77.000,80.000,74.000,78.000,60.000,55.000,40.000,0.000,0.000,0.000,70.000,534.000000
15371148.000000,1,82.000,79.000,75.000,77.000,55.000,48.000,35.000,0.000,0.000,0.000,71.000,522.000000
15372510.000000,1,84.000,76.000,71.000,78.000,56.000,48.000,3.000,0.000,0.000,32.000,74.000,522.000000
15373854.000000,1,84.000,78.000,75.000,77.000,52.000,48.000,0.000,0.000,0.000,45.000,71.000,530.000000
15375217.000000,1,86.000,80.000,75.000,75.000,52.000,48.000,17.000,0.000,0.000,7.000,75.000,515.000000
15376555.000000,1,75.000,78.000,70.000,75.000,62.000,44.000,44.000,0.000,0.000,0.000,72.000,520.000000
15377904.000000,1,84.000,77.000,75.000,76.000,57.000,48.000,17.000,0.000,0.000,12.000,73.000,519.000000
15379257.000000,1,83.000,77.000,76.000,74.000,56.000,48.000,0.000,0.000,0.000,47.000,70.000,531.000000
15380597.000000,1,75.000,77.000,70.000,75.000,58.000,52.000,18.000,0.000,0.000,12.000,71.000,508.000000
15381920.000000,1,75.000,77.000,70.000,75.000,59.000,52.000,24.000,0.000,0.000,11.000,73.000,516.000000
15383268.000000,1,74.000,75.000,70.000,73.000,58.000,48.000,39.000,0.000,0.000,0.000,71.000,508.000000
15384628.000000,1,79.000,80.000,74.000,75.000,53.000,52.000,28.000,0.000,0.000,4.000,70.000,515.000000
15385981.000000,1,84.000,75.000,71.000,76.000,52.000,48.000,0.000,0.000,0.000,40.000,74.000,520.000000
15387322.000000,1,75.000,75.000,70.000,72.000,57.000,48.000,23.000,0.000,0.000,10.000,71.000,501.000000
15388658.000000,1,70.000,77.000,70.000,74.000,61.000,48.000,48.000,0.000,0.000,0.000,70.000,518.000000
15390011.000000,1,82.000,78.000,74.000,74.000,52.000,52.000,26.000,0.000,0.000,4.000,75.000,517.000000
15391349.000000,1,79.000,77.000,72.000,76.000,55.000,48.000,0.000,0.000,0.000,28.000,70.000,505.000000
15392690.000000,1,73.000,77.000,69.000,70.000,59.000,52.000,0.000,0.000,0.000,39.000,70.000,509.000000
