18440537.000000,1,0.000,0.000,0.000,0.000,0.000,0.000000
18440553.000000,1,2.000,2.000,2.000,2.000,1.000,9.000000
18440568.000000,1,1.000,1.000,1.000,1.000,2.000,6.000000
18440580.000000,1,2.000,2.000,2.000,2.000,1.000,9.000000
18440593.000000,1,1.000,1.000,1.000,1.000,1.000,5.000000
18440605.000000,1,2.000,1.000,1.000,1.000,1.000,6.000000
18440621.000000,1,1.000,1.000,1.000,1.000,1.000,5.000000
18440635.000000,1,2.000,2.000,1.000,1.000,1.000,7.000000
18440648.000000,1,1.000,1.000,2.000,2.000,1.000,7.000000
18440662.000000,1,1.000,2.000,1.000,1.000,1.000,6.000000
18440677.000000,1,2.000,1.000,1.000,1.000,1.000,6.000000
18440691.000000,1,1.000,1.000,1.000,2.000,1.000,6.000000
18440706.000000,1,2.000,2.000,1.000,1.000,1.000,7.000000
18440720.000000,1,1.000,1.000,1.000,2.000,1.000,6.000000
18440735.000000,1,2.000,2.000,2.000,1.000,1.000,8.000000
18440748.000000,1,1.000,1.000,1.000,2.000,2.000,7.000000
18440764.000000,1,1.000,2.000,1.000,1.000,1.000,6.000000
18440777.000000,1,2.000,1.000,1.000,1.000,1.000,6.000000
18440789.000000,1,1.000,1.000,1.000,2.000,1.000,6.000000
18440804.000000,1,2.000,2.000,1.000,1.000,2.000,8.000000
18440819.000000,1,1.000,1.000,2.000,2.000,1.000,7.000000
18440833.000000,1,2.000,2.000,1.000,1.000,1.000,7.000000
18440849.000000,1,1.000,1.000,1.000,2.000,1.000,6.000000
18440865.000000,1,1.000,2.000,1.000,1.000,2.000,7.000000
18440879.000000,1,2.000,1.000,1.000,1.000,1.000,6.000000
18440893.000000,1,1.000,1.000,1.000,2.000,1.000,6.000000
18440910.000000,1,2.000,2.000,2.000,1.000,1.000,8.000000
18440922.000000,1,1.000,1.000,1.000,2.000,2.000,7.000000
18440935.000000,1,2.000,2.000,1.000,1.000,1.000,7.000000
18440948.000000,1,1.000,1.000,1.000,2.000,1.000,6.000000
