11638266.000000,1,0.000,0.000,0.000,0.000,0.000,0.000000
11639612.000000,1,63.000,26.000,45.000,74.000,54.000,262.000000
11640973.000000,1,61.000,62.000,7.000,71.000,54.000,255.000000
11642314.000000,1,66.000,0.000,70.000,76.000,58.000,270.000000
11643670.000000,1,66.000,0.000,36.000,73.000,67.000,242.000000
11645011.000000,1,54.000,15.000,0.000,71.000,73.000,213.000000
11646381.000000,1,61.000,0.000,0.000,68.000,71.000,200.000000
11647766.000000,1,64.000,0.000,0.000,69.000,71.000,204.000000
11649128.000000,1,67.000,0.000,30.000,74.000,65.000,236.000000
11650520.000000,1,48.000,23.000,74.000,79.000,53.000,277.000000
11651905.000000,1,62.000,7.000,73.000,77.000,71.000,290.000000
11653284.000000,1,67.000,27.000,48.000,77.000,55.000,274.000000
11654667.000000,1,70.000,29.000,52.000,77.000,51.000,279.000000
11656055.000000,1,65.000,66.000,35.000,72.000,54.000,292.000000
11657432.000000,1,66.000,0.000,71.000,76.000,59.000,272.000000
11658822.000000,1,69.000,0.000,73.000,77.000,73.000,292.000000
11660191.000000,1,67.000,0.000,67.000,77.000,70.000,281.000000
11661554.000000,1,63.000,0.000,33.000,70.000,69.000,235.000000
11662920.000000,1,64.000,0.000,67.000,72.000,56.000,259.000000
11664284.000000,1,68.000,0.000,74.000,76.000,59.000,277.000000
11665643.000000,1,68.000,41.000,35.000,77.000,61.000,282.000000
11667030.000000,1,63.000,6.000,65.000,74.000,62.000,270.000000
11668358.000000,1,61.000,0.000,65.000,70.000,55.000,251.000000
11669728.000000,1,53.000,21.000,69.000,75.000,65.000,283.000000
11671119.000000,1,68.000,0.000,74.000,77.000,66.000,285.000000
11672477.000000,1,62.000,0.000,65.000,71.000,66.000,264.000000
11673831.000000,1,65.000,0.000,54.000,74.000,70.000,263.000000
11675203.000000,1,66.000,0.000,35.000,74.000,72.000,247.000000
11676589.000000,1,67.000,0.000,71.000,76.000,67.000,281.000000
11677981.000000,1,64.000,31.000,54.000,70.000,57.000,276.000000
11679348.000000,1,62.000,66.000,71.000,66.000,55.000,320.000000
11680707.000000,1,61.000,64.000,60.000,67.000,52.000,304.000000
11682099.000000,1,58.000,12.000,58.000,71.000,50.000,249.000000
11683481.000000,1,61.000,66.000,66.000,66.000,55.000,314.000000
11684866.000000,1,57.000,62.000,67.000,63.000,51.000,300.000000
11686241.000000,1,57.000,66.000,69.000,67.000,51.000,310.000000
11687605.000000,1,57.000,65.000,71.000,67.000,50.000,310.000000
11688985.000000,1,56.000,65.000,61.000,68.000,52.000,302.000000
11690396.000000,1,54.000,61.000,66.000,63.000,50.000,294.000000
11691758.000000,1,59.000,67.000,71.000,69.000,51.000,317.000000
11693170.000000,1,57.000,65.000,69.000,66.000,50.000,307.000000
11694549.000000,1,55.000,65.000,21.000,69.000,48.000,258.000000
11695943.000000,1,57.000,66.000,62.000,66.000,50.000,301.000000
11697330.000000,1,57.000,66.000,70.000,66.000,52.000,311.000000
11698710.000000,1,59.000,65.000,27.000,70.000,50.000,271.000000
11700085.000000,1,61.000,67.000,44.000,68.000,50.000,290.000000
11701462.000000,1,58.000,63.000,68.000,66.000,48.000,303.000000
11702867.000000,1,58.000,66.000,64.000,70.000,49.000,307.000000
11704243.000000,1,59.000,27.000,55.000,68.000,45.000,254.000000
11705635.000000,1,61.000,66.000,50.000,68.000,50.000,295.000000
11707012.000000,1,63.000,65.000,68.000,66.000,52.000,314.000000
11708390.000000,1,62.000,67.000,71.000,67.000,51.000,318.000000
11709776.000000,1,58.000,62.000,66.000,65.000,49.000,300.000000
11711164.000000,1,58.000,64.000,69.000,66.000,48.000,305.000000
11712533.000000,1,58.000,67.000,71.000,66.000,48.000,310.000000
11713912.000000,1,56.000,46.000,58.000,69.000,49.000,278.000000
11715296.000000,1,59.000,67.000,64.000,67.000,49.000,306.000000
11716677.000000,1,58.000,62.000,46.000,66.000,49.000,281.000000
11718054.000000,1,55.000,64.000,62.000,67.000,48.000,296.000000
11719413.000000,1,52.000,62.000,72.000,66.000,46.000,298.000000
11720788.000000,1,54.000,64.000,71.000,67.000,47.000,303.000000
11722135.000000,1,54.000,64.000,72.000,67.000,47.000,304.000000
